id,number,nationwide_number,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,hours_mission,total_hrs_sum
18,10,6,"Tereshkova, Valentina",female,1937,U.S.S.R/Russia,military,1962,1,1,pilot,1963,Vostok 6,70.83,70.83
19,11,7,"Komarov, Vladimir",male,1927,U.S.S.R/Russia,military,1960,1,2,commander,1964,Voskhod 1,24.28,51.07
20,11,7,"Komarov, Vladimir",male,1927,U.S.S.R/Russia,military,1960,2,2,commander,1967,Soyuz 1,26.78,51.07
21,12,8,"Feoktistov, Konstantin",male,1926,U.S.S.R/Russia,civilian,1964,1,1,MSP,1964,Voskhod 1,24.28,24.28
22,13,9,"Yegorov, Boris",male,1937,U.S.S.R/Russia,civilian,1964,1,1,MSP,1964,Voskhod 1,24.28,24.28
23,14,10,"Belyayev, Pavel",male,1925,U.S.S.R/Russia,military,1960,1,1,commander,1965,Voskhod 2,26.03,26.03
24,15,11,"Leonov, Aleksei",male,1934,U.S.S.R/Russia,military,1960,1,2,pilot,1965,Voskhod 2,26.03,168.53
25,15,11,"Leonov, Aleksei",male,1934,U.S.S.R/Russia,military,1960,2,2,commander,1975,Soyuz 19,142.0,168.53
26,16,5,"Grissom, Virgil I.",male,1926,U.S.,military,1959,1,1,commander,1965,Gemini 3,4.86,4.86
27,17,6,"Young, John W.",male,1930,U.S.,military,1962,1,6,pilot,1965,Gemini 3,4.86,835.65
28,17,6,"Young, John W.",male,1930,U.S.,military,1962,2,6,pilot,1966,Gemini 10,70.77,835.65
29,17,6,"Young, John W.",male,1930,U.S.,military,1962,3,6,pilot,1969,Apollo 10,192.05,835.65
30,17,6,"Young, John W.",male,1930,U.S.,military,1962,4,6,commander,1972,Apollo 16,265.85,835.65
31,17,6,"Young, John W.",male,1930,U.S.,military,1962,5,6,commander,1981,STS-1,54.5,835.65
32,17,6,"Young, John W.",male,1930,U.S.,military,1962,6,6,commander,1983,STS-9,240.0,835.65
33,18,7,"McDivitt, James A.",male,1929,U.S.,military,1962,1,2,commander,1965,Gemini 4,97.0,338.0
34,18,7,"McDivitt, James A.",male,1929,U.S.,military,1962,2,2,commander,1969,Apollo 9,241.0,338.0
35,19,8,"White, Edward H., II",male,1930,U.S.,military,1962,1,1,pilot,1965,Gemini 4,97.93,97.93
36,20,9,"Conrad, Charles, Jr.",male,1930,U.S.,military,1962,1,4,pilot,1965,Gemini 5,191.0,1179.0
37,20,9,"Conrad, Charles, Jr.",male,1930,U.S.,military,1962,2,4,commander,1966,Gemini 11,71.0,1179.0
38,20,9,"Conrad, Charles, Jr.",male,1930,U.S.,military,1962,3,4,commander,1969,Apollo 12,244.0,1179.0
39,20,9,"Conrad, Charles, Jr.",male,1930,U.S.,military,1962,4,4,commander,1973,Skylab 2,673.0,1179.0
40,21,10,"Borman, Frank",male,1928,U.S.,military,1962,1,2,commander,1965,Gemini 7,330.58,477.0
41,21,10,"Borman, Frank",male,1928,U.S.,military,1962,2,2,commander,1968,Apollo 8,147.0,477.0
42,22,11,"Lovell, James A., Jr.",male,1928,U.S.,military,1962,1,4,pilot,1965,Gemini 7,330.58,715.05
43,22,11,"Lovell, James A., Jr.",male,1928,U.S.,military,1962,2,4,commander,1966,Gemini 12,94.0,715.05
44,22,11,"Lovell, James A., Jr.",male,1928,U.S.,military,1962,3,4,pilot,1968,Apollo 8,147.0,715.05
45,22,11,"Lovell, James A., Jr.",male,1928,U.S.,military,1962,4,4,commander,1970,Apollo 13,142.0,715.05
46,23,12,"Stafford, Thomas P.",male,1930,U.S.,military,1962,1,4,pilot,1965,gemini 6A,25.86,508.0
47,23,12,"Stafford, Thomas P.",male,1930,U.S.,military,1962,2,4,commander,1966,Gemini 9A,72.0,508.0
48,23,12,"Stafford, Thomas P.",male,1930,U.S.,military,1962,3,4,commander,1969,Apollo 10,192.0,508.0
49,23,12,"Stafford, Thomas P.",male,1930,U.S.,military,1962,4,4,commander,1975,ASTP,217.0,508.0
50,24,13,"Armstrong, Neil A.",male,1930,U.S.,civilian,1962,1,2,commander,1966,Gemini 8,11.0,206.0
51,24,13,"Armstrong, Neil A.",male,1930,U.S.,civilian,1962,2,2,commander,1969,Apollo 11,195.0,206.0
52,25,14,"Scott, David R.",male,1932,U.S.,military,1963,1,3,pilot,1966,Gemini 8,240.68,546.0
53,25,14,"Scott, David R.",male,1932,U.S.,military,1963,2,3,pilot,1969,Apollo 9,241.0,546.0
54,25,14,"Scott, David R.",male,1932,U.S.,military,1963,3,3,commander,1971,Apollo 15,312.0,546.0
55,26,15,"Cernan, Eugene A.",male,1934,U.S.,military,1963,1,3,pilot,1966,Gemini 9A,72.0,565.0
56,26,15,"Cernan, Eugene A.",male,1934,U.S.,military,1963,2,3,pilot,1969,Apollo 10,192.05,565.0
57,26,15,"Cernan, Eugene A.",male,1934,U.S.,military,1963,3,3,commander,1972,Apollo 17,302.0,565.0
58,27,16,"Collins, Michael",male,1930,U.S.,civilian,1963,1,2,pilot,1966,Gemini 10,71.0,266.0
59,27,16,"Collins, Michael",male,1930,U.S.,civilian,1963,2,2,pilot,1969,Apollo 11,195.0,266.0
60,28,17,"Gordon, Richard F., Jr.",male,1929,U.S.,military,1963,1,2,pilot,1966,Gemini 11,71.28,315.88
61,28,17,"Gordon, Richard F., Jr.",male,1929,U.S.,military,1963,2,2,pilot,1969,Apollo 12,244.6,315.88
62,29,18,"Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,1963,1,2,pilot,1966,Gemini 12,94.58,289.0
63,29,18,"Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,1963,2,2,pilot,1969,Apollo 11,195.0,289.0
64,30,19,"Eisele, Donn F.",male,1930,U.S.,military,1963,1,1,pilot,1968,Apollo 7,260.13,260.0
65,31,20,"Cunningham, Ronnie Walter",male,1932,U.S.,civilian,1963,1,1,pilot,1968,Apollo 7,260.13,260.13
66,100,50,"Savinykh, Viktor",male,1940,U.S.S.R/Russia,civilian,1978,2,3,flight engineer,1985,Salyut 7,4035.0,6065.63
67,100,50,"Savinykh, Viktor",male,1940,U.S.S.R/Russia,civilian,1978,3,3,flight engineer,1988,2,236.0,6065.63
68,101,1,Jugderdemidiin Gurragchaa,male,1947,Mongolia,civilian,1978,1,1,flight engineer,1981,Soyuz 39,188.7,188.7
69,102,44,"Crippen, Robert L.",male,1937,U.S.,military,1969,1,4,pilot,1981,STS-1,54.0,565.0
70,102,44,"Crippen, Robert L.",male,1937,U.S.,military,1969,2,4,commander,1983,STS-7,146.0,565.0
71,102,44,"Crippen, Robert L.",male,1937,U.S.,military,1969,3,4,commander,1984,STS-41-C,168.0,565.0
72,102,44,"Crippen, Robert L.",male,1937,U.S.,military,1969,4,4,commander,1984,STS-41-G,197.0,565.0
73,103,1,Dumitru Prunariu,male,1952,Romania,civilian,1978,1,1,MSP,1981,Soyuz 40,188.7,188.7
74,104,45,"Engle, Joe H.",male,1932,U.S.,military,1966,1,2,commander,1981,STS-2,30.0,224.0
75,104,45,"Engle, Joe H.",male,1932,U.S.,military,1966,2,2,commander,1985,STS-51-I,170.0,224.0
76,105,46,"Truly, Richard H.",male,1937,U.S.,military,1969,1,2,pilot,1981,STS-2,54.21,199.34
77,105,46,"Truly, Richard H.",male,1937,U.S.,military,1969,2,2,commander,1983,STS-8,145.13,199.34
78,106,47,"Fullerton, Charles G.",male,1936,U.S.,military,1969,1,2,pilot,1982,STS-3,192.0,382.0
79,106,47,"Fullerton, Charles G.",male,1936,U.S.,military,1969,2,2,commander,1985,STS-51-F,190.0,382.0
80,107,51,"Berezovoy, Anatoly",male,1942,U.S.S.R/Russia,military,1970,1,1,commander,1982,Salyut 7,5073.0,5073.07
81,108,1,"Chrétien, Jean-Loup",male,1938,France,military,1980,1,3,MSP,1982,Salyut 7,190.0,1043.32
82,108,1,"Chrétien, Jean-Loup",male,1938,France,military,1980,2,3,MSP,1988,Mir Aragatz,594.0,1043.32
83,108,1,"Chrétien, Jean-Loup",male,1938,France,military,1980,3,3,MSP,1997,STS-86,259.3,1043.32
84,109,48,"Hartsfield, Henry W., Jr.",male,1933,U.S.,military,1969,1,3,pilot,1982,STS-4,169.0,481.0
85,109,48,"Hartsfield, Henry W., Jr.",male,1933,U.S.,military,1969,2,3,commander,1984,STS-41-D,144.0,481.0
86,109,48,"Hartsfield, Henry W., Jr.",male,1933,U.S.,military,1969,3,3,commander,1985,STS-61-A,168.0,481.0
87,110,52,"Serebrov, Aleksandr",male,1944,U.S.S.R/Russia,civilian,1978,1,4,flight engineer,1982,Salyut 7,189.0,8950.87
88,32,12,"Beregovoi, Georgi",male,1921,U.S.S.R/Russia,military,1964,1,1,commander,1968,Soyuz 3,94.83,94.83
89,33,21,"Anders, William Alison",male,1933,U.S.,civilian,1963,1,1,pilot,1968,Apollo 8,147.0,147.0
90,34,13,"Shatalov, Vladimir",male,1927,U.S.S.R/Russia,military,1963,1,3,commander,1969,Soyuz 4,71.33,237.92
91,34,13,"Shatalov, Vladimir",male,1927,U.S.S.R/Russia,military,1963,2,3,commander,1969,Soyuz 8,118.0,237.92
92,34,13,"Shatalov, Vladimir",male,1927,U.S.S.R/Russia,military,1963,3,3,commander,1971,Soyuz 10,47.0,237.92
93,35,14,"Volynov, Boris",male,1934,U.S.S.R/Russia,military,1960,1,2,commander,1969,Soyuz 5,72.0,1255.28
94,35,14,"Volynov, Boris",male,1934,U.S.S.R/Russia,military,1960,2,2,commander,1976,Soyuz 21,1182.0,1255.28
95,36,15,"Yeliseyev, Aleksei",male,1934,U.S.S.R/Russia,civilian,1968,1,3,flight engineer,1969,Soyuz 5/4,47.0,214.33
96,36,15,"Yeliseyev, Aleksei",male,1934,U.S.S.R/Russia,civilian,1968,2,3,flight engineer,1969,Soyuz 8,118.0,214.33
97,36,15,"Yeliseyev, Aleksei",male,1934,U.S.S.R/Russia,civilian,1968,3,3,flight engineer,1971,Soyuz 10,47.0,214.33
98,37,16,"Khrunov, Yevgeny",male,1933,U.S.S.R/Russia,military,1960,1,1,MSP,1969,Soyuz 5/4,48.17,47.75
99,38,22,"Schweickart, Russell L.",male,1935,U.S.,civilian,1963,1,1,pilot,1969,apollo 9,241.0,241.0
100,39,17,"Shonin, Georgi",male,1935,U.S.S.R/Russia,military,1960,1,1,commander,1969,Soyuz 6,118.0,118.7
101,40,18,"Kubasov, Valeri",male,1935,U.S.S.R/Russia,military,1968,1,3,flight engineer,1969,Soyuz 6,118.0,449.95
102,40,18,"Kubasov, Valeri",male,1935,U.S.S.R/Russia,military,1968,2,3,flight engineer,1975,Soyuz 19,142.0,449.95
103,40,18,"Kubasov, Valeri",male,1935,U.S.S.R/Russia,military,1968,3,3,commander,1980,Soyuz 36/35,188.0,449.95
104,41,19,"Filipchenko, Anatoly",male,1928,U.S.S.R/Russia,military,1963,1,2,commander,1969,Soyuz 7,118.0,261.05
105,41,19,"Filipchenko, Anatoly",male,1928,U.S.S.R/Russia,military,1963,2,2,commander,1974,Soyuz 16,142.0,261.05
106,42,20,"Volkov, Vladislav",male,1935,U.S.S.R/Russia,military,1968,1,2,flight engineer,1969,Soyuz 7,118.0,689.02
107,42,20,"Volkov, Vladislav",male,1935,U.S.S.R/Russia,military,1968,2,2,flight engineer,1971,Soyuz 11,570.0,689.02
108,43,21,"Gorbatko, Viktor",male,1934,U.S.S.R/Russia,military,1960,1,3,MSP,1969,Soyuz 7,118.0,732.78
109,43,21,"Gorbatko, Viktor",male,1934,U.S.S.R/Russia,military,1960,2,3,commander,1977,Soyuz 24,425.0,732.78
110,43,21,"Gorbatko, Viktor",male,1934,U.S.S.R/Russia,military,1960,3,3,commander,1980,Soyuz 37/36,188.0,732.78
111,44,23,"Bean, Alan Lavern",male,1932,U.S.,military,1963,1,2,pilot,1969,Apollo 12,244.81,1671.75
112,44,23,"Bean, Alan Lavern",male,1932,U.S.,military,1963,2,2,commander,1973,Skylab 3,1427.23,1671.75
113,45,24,"Swigert, John L., Jr.",male,1931,U.S.,civilian,1966,1,1,pilot,1970,Apollo 13,142.0,142.0
114,46,25,"Haise, Fred W., Jr.",male,1933,U.S.,civilian,1966,1,1,pilot,1970,Apollo 13,142.0,142.0
115,47,22,"Sevastyanov, Vitali",male,1935,U.S.S.R/Russia,civilian,1968,1,2,flight engineer,1970,Soyuz 9,424.0,1936.3
116,47,22,"Sevastyanov, Vitali",male,1935,U.S.S.R/Russia,civilian,1968,2,2,flight engineer,1975,Soyuz 18,1511.0,1936.3
117,48,26,"Shepard, Alan B., Jr.",male,1923,U.S.,military,1959,2,2,commander,1971,Apollo 14,216.0,216.25
118,49,27,"Roosa, Stuart A.",male,1933,U.S.,military,1966,1,1,pilot,1971,Apollo 14,216.0,216.0
119,50,28,"Mitchell, Edgar D.",male,1930,U.S.,military,1966,1,1,pilot,1971,Apollo 14,216.0,216.0
120,51,23,"Rukavishnikov, Nikolai",male,1932,U.S.S.R/Russia,military,1968,1,3,flight engineer,1971,Soyuz 10,47.0,237.15
121,51,23,"Rukavishnikov, Nikolai",male,1932,U.S.S.R/Russia,military,1968,2,3,flight engineer,1974,Soyuz 16,142.0,237.15
122,51,23,"Rukavishnikov, Nikolai",male,1932,U.S.S.R/Russia,military,1968,3,3,commander,1979,Soyuz 33,47.0,237.15
123,52,24,"Dobrovolski, Georgi",male,1928,U.S.S.R/Russia,military,1963,1,1,commander,1971,Soyuz 11,570.0,570.35
124,53,25,"Patsayev, Viktor",male,1933,U.S.S.R/Russia,civilian,1968,1,1,flight engineer,1971,Soyuz 11,570.0,570.35
125,54,29,"Worden, Alfred M.",male,1932,U.S.,military,1966,1,1,pilot,1971,Apollo 15,295.2,295.2
126,55,30,"Irwin, James B.",male,1930,U.S.,military,1966,1,1,pilot,1971,Apollo 15,295.0,295.0
127,56,31,"Mattingly, Thomas K., II",male,1936,U.S.,military,1966,1,3,pilot,1972,Apollo 16,266.0,508.0
128,56,31,"Mattingly, Thomas K., II",male,1936,U.S.,military,1966,2,3,commander,1982,STS-4,169.0,508.0
129,56,31,"Mattingly, Thomas K., II",male,1936,U.S.,military,1966,3,3,commander,1985,STS-151-C,73.0,508.0
130,57,32,"Duke, Jr. Charles Moss",male,1935,U.S.,military,1966,1,1,pilot,1972,Apollo 16,265.0,265.0
131,58,33,"Evans, Ronald E.",male,1933,U.S.,military,1966,1,1,pilot,1972,Apollo 17,301.0,301.0
132,59,34,"Schmitt, Harrison H.",male,1935,U.S.,civilian,1965,1,1,pilot,1972,Apollo 17,301.0,301.0
133,60,35,"Weitz, Paul J.",male,1932,U.S.,military,1966,1,2,pilot,1973,Skylab-2,267.0,793.22
134,60,35,"Weitz, Paul J.",male,1932,U.S.,military,1966,2,2,commander,1983,STS-6,120.0,793.22
135,61,36,"Kerwin, Joseph P.",male,1932,U.S.,military,1965,1,1,MSP,1973,Skylab 2,672.0,672.0
136,62,37,"Lousma, Jack R.",male,1936,U.S.,military,1966,1,2,pilot,1973,Skylab 3,1427.0,1619.0
137,62,37,"Lousma, Jack R.",male,1936,U.S.,military,1966,2,2,commander,1982,STS-3,192.0,1619.0
138,63,38,"Garriott, Owen K.",male,1930,U.S.,civilian,1965,1,2,MSP,1973,Skylab 3,1427.0,1674.0
139,63,38,"Garriott, Owen K.",male,1930,U.S.,civilian,1965,2,2,MSP,1983,STS-9,247.0,1674.0
140,64,26,"Lazarev, Vasili",male,1928,U.S.S.R/Russia,military,1964,1,1,commander,1973,Soyuz 12,47.0,47.25
141,65,27,"Makarov, Oleg",male,1933,U.S.S.R/Russia,civilian,1968,1,3,flight engineer,1973,Soyuz 12,47.0,497.33
142,65,27,"Makarov, Oleg",male,1933,U.S.S.R/Russia,civilian,1968,2,3,flight engineer,1978,Soyuz 27/26,142.0,497.33
143,65,27,"Makarov, Oleg",male,1933,U.S.S.R/Russia,civilian,1968,3,3,flight engineer,1980,Soyuz T­3,307.0,497.33
144,66,39,"Carr, Gerald P.",male,1932,U.S.,military,1966,1,1,commander,1974,Skylab 4,2017.0,2017.0
145,67,40,"Pogue, William R.",male,1930,U.S.,military,1966,1,1,pilot,1973,Skylab 4,2017.0,2017.0
146,68,41,"Gibson, Edward G.",male,1936,U.S.,civilian,1965,1,1,MSP,1973,Skylab 4,2017.0,2017.0
147,69,28,"Klimuk, Pyotr",male,1942,U.S.S.R/Russia,military,1965,1,3,commander,1973,Soyuz 13,188.0,1890.28
148,69,28,"Klimuk, Pyotr",male,1942,U.S.S.R/Russia,military,1965,2,3,commander,1975,Saluyt 4,1511.0,1890.28
149,69,28,"Klimuk, Pyotr",male,1942,U.S.S.R/Russia,military,1965,3,3,commander,1978,Saluyt 6,190.0,1890.28
150,70,29,"Lebedev, Valentin",male,1942,U.S.S.R/Russia,civilian,1972,1,2,flight engineer,1973,Soyuz 13,188.0,5261.98
151,70,29,"Lebedev, Valentin",male,1942,U.S.S.R/Russia,civilian,1972,2,2,flight engineer,1982,Salyut 7,5313.0,5261.98
152,71,30,"Artyukhin, Yuri",male,1930,U.S.S.R/Russia,military,1963,1,1,flight engineer,1974,Soyuz 14,377.0,377.5
153,72,31,"Sarafanov, Gennadi",male,1942,U.S.S.R/Russia,military,1965,1,1,commander,1974,Soyuz 15,48.0,48.2
154,73,32,"Dyomin, Lev",male,1926,U.S.S.R/Russia,military,1963,1,1,flight engineer,1974,Soyuz 15,48.0,48.2
155,74,33,"Gubarev, Aleksei",male,1931,U.S.S.R/Russia,military,1963,1,2,commander,1975,Salyut 4,709.0,899.6
156,74,33,"Gubarev, Aleksei",male,1931,U.S.S.R/Russia,military,1963,2,2,commander,1978,Salyut 6,190.0,899.6
157,75,34,"Grechko, Georgi",male,1931,U.S.S.R/Russia,civilian,1968,1,3,flight engineer,1975,Salyut 4,709.0,3236.53
158,75,34,"Grechko, Georgi",male,1931,U.S.S.R/Russia,civilian,1968,2,3,flight engineer,1977,Salyut 6,2314.0,3236.53
159,75,34,"Grechko, Georgi",male,1931,U.S.S.R/Russia,civilian,1968,3,3,flight engineer,1985,Soyuz 7,213.0,3236.53
160,76,42,"Brand, Vance D.",male,1931,U.S.,civilian,1966,1,4,pilot,1975,ASTP,217.5,746.0
161,76,42,"Brand, Vance D.",male,1931,U.S.,civilian,1966,2,4,commander,1982,STS-5,122.25,746.0
162,76,42,"Brand, Vance D.",male,1931,U.S.,civilian,1966,3,4,commander,1984,STS-41-B,191.25,746.0
163,76,42,"Brand, Vance D.",male,1931,U.S.,civilian,1966,4,4,commander,1990,STS-35,215.0,746.0
164,77,43,"Slayton, Donald K.",male,1924,U.S.,civilian,1959,1,1,pilot,1975,ASTP,217.47,217.47
165,78,35,"Zholobov, Vitali",male,1937,U.S.S.R/Russia,military,1963,1,1,flight engineer,1976,Soyuz 21,1182.0,1182.38
166,79,36,"Aksyonov, Vladimir",male,1935,U.S.S.R/Russia,military,1973,1,2,flight engineer,1976,Soyuz 22,189.0,284.18
167,79,36,"Aksyonov, Vladimir",male,1935,U.S.S.R/Russia,military,1973,2,2,flight engineer,1980,Soyuz T­2,94.0,284.18
168,80,37,"Zudov, Vyacheslav",male,1942,U.S.S.R/Russia,military,1965,1,1,commander,1976,Soyuz 23,48.0,48.1
169,81,38,"Rozhdestvensky, Valery",male,1939,U.S.S.R/Russia,military,1965,1,1,flight engineer,1976,Soyuz 23,48.0,48.1
170,82,39,"Glazkov, Yuri",male,1939,U.S.S.R/Russia,military,1965,1,1,flight engineer,1977,Soyuz 24,425.0,425.42
171,83,40,"Kovalyonok, Vladimir",male,1942,U.S.S.R/Russia,military,1967,1,3,commander,1977,Soyuz 25,48.0,5193.13
172,83,40,"Kovalyonok, Vladimir",male,1942,U.S.S.R/Russia,military,1967,2,3,commander,1978,Salyut 6,3350.0,5193.13
173,83,40,"Kovalyonok, Vladimir",male,1942,U.S.S.R/Russia,military,1967,3,3,commander,1981,Salyut 6,1793.0,5193.13
174,84,41,"Ryumin, Valery",male,1939,U.S.S.R/Russia,civilian,1973,1,4,flight engineer,1977,Soyuz 25,48.0,8921.4
175,84,41,"Ryumin, Valery",male,1939,U.S.S.R/Russia,civilian,1973,2,4,flight engineer,1979,Salyut 6,4200.0,8921.4
176,84,41,"Ryumin, Valery",male,1939,U.S.S.R/Russia,civilian,1973,3,4,flight engineer,1980,Salyut 6,4436.0,8921.4
177,84,41,"Ryumin, Valery",male,1939,U.S.S.R/Russia,civilian,1973,4,4,MSP,1998,STS­ 91,235.0,8921.4
178,85,42,"Romanenko, Yuri",male,1944,U.S.S.R/Russia,military,1970,1,3,commander,1977,Soyuz 26/27,2314.0,10338.35
179,85,42,"Romanenko, Yuri",male,1944,U.S.S.R/Russia,military,1970,2,3,commander,1980,Soyuz 38,188.0,10338.35
180,85,42,"Romanenko, Yuri",male,1944,U.S.S.R/Russia,military,1970,3,3,commander,1987,2,7835.0,10338.35
181,86,43,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,1,5,commander,1978,Soyuz 27/26,142.0,3495.93
182,86,43,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,2,5,commander,1981,Soyuz 39,188.0,3495.93
183,86,43,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,3,5,commander,1982,Salyut 7,189.0,3495.93
184,86,43,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,4,5,commander,1984,Salyut 7,283.0,3495.93
185,86,43,"Dzhanibekov, Vladimir",male,1942,U.S.S.R/Russia,military,1970,5,5,commander,1985,Salyut 7,2691.0,3495.93
186,87,1,Vladimir Remek,male,1948,Czechoslovakia,military,1976,1,1,pilot,1978,Soyuz 28,190.28,190.28
187,88,44,"Ivanchenkov, Aleksandr",male,1940,U.S.S.R/Russia,military,1973,1,2,flight engineer,1978,Salyut 6,3350.0,3540.62
188,88,44,"Ivanchenkov, Aleksandr",male,1940,U.S.S.R/Russia,military,1973,2,2,flight engineer,1982,Salyut 7,189.0,3540.62
189,89,1,Miroslaw Hermaszewske,male,1941,Poland,military,1976,1,1,pilot,1978,Soyuz 30,190.03,190.03
190,90,1,"Jahn, Sigmund",male,1937,Germany,military,1976,1,1,MSP,1978,Soyuz 31,188.82,188.82
191,91,45,"Lyakhov, Vladimir",male,1941,U.S.S.R/Russia,military,1967,1,3,commander,1979,Salyut 6,4200.0,7999.78
192,91,45,"Lyakhov, Vladimir",male,1941,U.S.S.R/Russia,military,1967,2,3,commander,1983,Salyut 7,3586.0,7999.78
193,91,45,"Lyakhov, Vladimir",male,1941,U.S.S.R/Russia,military,1967,3,3,commander,1988,3,212.0,7999.78
194,92,1,Georgi Ivanov,male,1940,Bulgaria,military,1978,1,1,pilot,1979,Soyuz 33,47.0,47.0
195,93,46,"Popov, Leonid",male,1945,U.S.S.R/Russia,military,1970,1,3,commander,1980,Salyut 6,4436.0,4814.75
196,93,46,"Popov, Leonid",male,1945,U.S.S.R/Russia,military,1970,2,3,commander,1981,Salyut 6,188.0,4814.75
197,93,46,"Popov, Leonid",male,1945,U.S.S.R/Russia,military,1970,3,3,commander,1982,Salyut 7,189.0,4814.75
198,94,1,Bertalan Farkas,male,1949,Hungry,civilian,1978,1,1,pilot,1980,Soyuz 36/35,188.75,188.75
199,95,47,"Malyshev, Yuri",male,1941,U.S.S.R/Russia,military,1967,1,2,commander,1980,Salyut 7,94.0,283.98
200,95,47,"Malyshev, Yuri",male,1941,U.S.S.R/Russia,military,1967,2,2,commander,1984,Salyut 7,189.0,283.98
201,96,1,Pham Tuan,male,1947,Vietnam,military,1979,1,1,MSP,1980,Salyut 6,188.7,188.7
202,97,1,Arnaldo Tamayo Mendez,male,1942,Cuba,military,1978,1,1,pilot,1980,Soyuz 38,1887.71,188.71
203,98,48,"Kizim, Leonid",male,1941,U.S.S.R/Russia,military,1965,1,3,commander,1980,Salyut 6,307.0,8993.93
204,98,48,"Kizim, Leonid",male,1941,U.S.S.R/Russia,military,1965,2,3,commander,1984,Salyut 7,5686.0,8993.93
205,98,48,"Kizim, Leonid",male,1941,U.S.S.R/Russia,military,1965,3,3,commander,1986,1,3000.0,8993.93
206,99,49,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,1,5,MSP,1980,Salyut 6,307.0,6454.37
207,99,49,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,2,5,flight engineer,1983,Soyuz T­8,48.0,6454.37
208,99,49,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,3,5,flight engineer,1984,Salyut 7,189.0,6454.37
209,99,49,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,4,5,flight engineer,1990,7,3140.0,6454.37
210,99,49,"Strekalov, Gennadi",male,1940,U.S.S.R/Russia,civilian,1973,5,5,flight engineer,1995,18,2768.0,6454.37
211,100,50,"Savinykh, Viktor",male,1940,U.S.S.R/Russia,civilian,1978,1,3,flight engineer,1981,Salyut 6,1793.0,6065.63
212,110,52,"Serebrov, Aleksandr",male,1944,U.S.S.R/Russia,civilian,1978,2,4,MSP,1983,Soyuz T­8,48.0,8950.87
213,110,52,"Serebrov, Aleksandr",male,1944,U.S.S.R/Russia,civilian,1978,3,4,flight engineer,1990,5,3990.0,8950.87
214,110,52,"Serebrov, Aleksandr",male,1944,U.S.S.R/Russia,civilian,1978,4,4,flight engineer,1993,14,4721.0,8950.87
